city,Name of School,Rating
Berlin,Platanus School Berkin,95
Düsseldorf,International School of Düsseldorf,95
Munich,Munich International School,95
Kolitzheim,International School of Mainfranken,95
Berlin,Berlin Brandenburg International School,88
Bonn,Bonn International School,88
Düsseldorf,St. George School Düsseldorf Rhein-Ruhr,88
Erlangen,Franconian International School,88
Hamburg,WABE International School,88
Hennover,International School Hannover Region,88
Leipzig,Leipzog International School,88
Neu-Ulm,International School Ullm,88
Augsburg,International School Augsburg,88
Weimer,Thuringia International School,88
Salem,Schule Schloss Salem,88
Berlin,RHORMS Berlin Sud,81
Frankfurt,Strothoff Inernational School,81
Munich,Phorms Campus Munchen,81
Cologne,St. George School Cologne,81
Bed Viblbel,European School RheinMain,81
Berlin,Berlin British School,81
Berlin,Berlin International School,81
Berlin,RHORMS Berlin Sud 2,81
Berlin,RHORMS Berlin Sud 3,81
Berlin,Berlin Cosmopolitan School,81
Dresden,Dresden International School,81
Frankfurt,ISF International School Frankfurt RheinMain,81
Frankfurt,Strothoff Inernational School 2,81
Frankfurt,Fintosch Multilingual Primary School,81
Heidelberg,Heidelberg International School,81
Munich,Phorms Campus Munchen 2,81
Stuttgart,Swiss International School,81
Kendern,Black Forest Academy,81
Glauchau,Saxony International School,81
Cologne,St. George School Cologne 2,81
Bed Viblbel,European School RheinMain 2,81
Heilbronn,Josef-Schwarz-Schule Heilbronn,81
Freiburg,UWC Robert Bosch College,81
Berlin,Berlin Bilingual School,75
Berlin,Klax Schule,75
Bonn,Indipendent Bonn International School,75
Berlin,PHORMS Berlin Mitte,75
Berlin,Berlin Metropolitan School,75
Frankfurt,Phrms School Frankfurt,75
Frankfurt,Metropolitan School Franfurt,75
Frankfurt,Accadis International School Bad Homburg,75
Koln,Cologne International School,75
Munich,St. George School Munich,75
Neuss,ISR International School on the Rhine,75
Munich,Bavaruan International School,68
Erlenbach,Josef-Schwarz-Schule Erlenbach,68
Berlin,John F. Kennedy School,62
Frankfurt,European School Frankfurt,54
Hannover,Kammer International Bilingual School,54
Essen,International School Ruhr,54
Stuttgart,Institut Dr. Flad,53
Berlin,International School Villa Amalienhof,52
Seeheim-Jugenheim,State International School,50
Seeheim-Jugenheim,International Kindergarten,50
Frankfurt,Phorms Franfurt Taunus,48