State,Number of public schools,Number of international schools,Number of univercities,total
Baden-WÃ¼rttemberg,54.0,3.0,6.0,63.0
Bavaria,32.0,7.0,6.0,45.0
Berlin,7.0,14.0,5.0,26.0
Brandenburg,1.0,0.0,2.0,3.0
Bremen,8.0,0.0,3.0,11.0
Hamburg,1.0,1.0,3.0,5.0
Hesse,4.0,9.0,4.0,17.0
Lower Saxony,3.0,1.0,5.0,9.0
Mecklenburg-Vorpommern,3.0,0.0,1.0,4.0
North Rhine-Westphalia,12.0,8.0,14.0,34.0
Rhineland-Palatinate,12.0,0.0,4.0,16.0
Saarland,0.0,0.0,0.0,0.0
Saxony,5.0,2.0,4.0,11.0
Saxony-Anhalt,0.0,0.0,1.0,1.0
Schleswig-Holstein,1.0,0.0,2.0,3.0
Thuringia,0.0,0.0,1.0,1.0
