Land,Teachers1,"Pupils per 1,000 inhabitants",Pupils total,under 6 %,6 to 10 %,10 to 15 %,15 to 19 %,19 and over %,age unspecified %
Germany,"38,506",18,"1,451,496",16.7,32,25.4,10.3,9.9,5.7
Baden-Württemberg,"7,770",27,"299,270",19.2,28.7,27.6,11.2,6.7,6.6
Bayern,"5,116",15,"197,060",14.6,33.3,26.4,10.6,10.4,4.8
Berlin,"2,201",16,"58,180",21.6,20.4,20.4,9.8,19.2,8.6
Brandenburg,"1,464",19,"47,513",18.6,25.6,27,11.6,12.3,4.9
Bremen,143,6,"4,226",11.8,24.8,28.7,14.1,11,9.7
Hamburg,486,14,"25,098",8.5,52.2,20.3,7.7,3.3,8
Hessen,"2,719",15,"95,173",16.3,28.8,27.7,10,13.7,3.4
Mecklenburg-Vorpommern,801,15,"23,452",15.1,26.5,27.1,15.2,13.5,2.5
Niedersachsen,"2,879",18,"145,594",23.5,28.9,23.4,8.8,9.5,6
Nordrhein-Westfalen,"7,498",19,"335,396",12.4,41.2,22.6,8.2,8.4,7.1
Rheinland-Pfalz,"1,725",14,"56,768",20.1,24.4,26.3,11.5,12.4,5.3
Saarland,312,9,"8,889",21.5,33.4,21.9,10.2,11.2,1.8
Sachsen,"2,234",16,"64,475",17.2,31.6,27.4,13.6,7.9,2.2
Sachsen-Anhalt,921,11,"24,119",15.1,26.8,28.5,13.7,13.1,2.8
Schleswig-Holstein,"1,228",13,"37,896",14.9,24.3,27.4,10.6,18.6,4.3
Thüringen,"1,009",13,"28,387",13.8,29.3,29.2,14.7,12.1,0.9