year;Number of Hospitals; Number of Beds;Beds per 100 000 inhabitants; Number of Patients;Patients per 100 000 inhabitants;Occupancy or billing days;Average length of stay;Average occupancy of hospital beds
1991;2411;665565;832;14576613;18224;204204;14.0;84.1
1992;2381;646995;803;14974845;18581;198769;13.2;83.9
1993;2354;628658;774;15191174;18713;190741;12.5;83.1
1994;2337;618176;759;15497702;19034;186049;11.9;82.5
1995;2325;609123;746;15931168;19509;182627;11.4;82.1
1996;2269;593743;725;16165019;19739;175247;10.8;80.6
1997;2258;580425;707;16429031;20023;171837;10.4;81.1
1998;2263;571629;697;16847477;20538;171802;10.1;82.3
1999;2252;565268;689;17092707;20823;169696;9.9;82.2
2000;2242;559651;681;17262929;21004;167789;9.7;81.9
2001;2240;552680;671;17325083;21041;163536;9.4;81.1
2002;2221;547284;664;17432272;21135;159937;9.2;80.1
2003;2197;541901;657;17295910;20960;153518;8.9;77.6
2004;2166;531333;644;16801649;20365;146746;8.7;75.5
2005;2139;523824;635;16539398;20056;143244;8.7;74.9
2006;2104;510767;620;16832883;20437;142251;8.5;76.3
2007;2087;506954;616;17178573;20883;142893;8.3;77.2
2008;2083;503360;613;17519579;21334;142535;8.1;77.4
2009;2084;503341;615;17817180;21762;142414;8.0;77.5
2010;2064;502749;615;18032903;22057;141942;7.9;77.4
2011;2045;502029;626;18344156;22870;141676;7.7;77.3
2012;2017;501475;624;18620442;23156;142024;7.6;77.4
2013;1996;500671;621;18787168;23296;141340;7.5;77.3
2014;1980;500680;618;19148626;23645;141534;7.4;77.4
2015;1956;499351;611;19239574;23553;141281;7.3;77.5
2016;1951;498718;606;19532779;23720;142170;7.3;77.9
2017;1942;497182;602;19442810;23522;141152;7.3;77.8
2018;1925;498192;601;19392466;23391;140225;7.2;77.1
2019;1914;494326;595;19415555;23266;139268;7.2;77.2
2020;1903;487783;587;16793962;20195;120202;7.2;67.3
2021;1887;483606;581;16742344;20124;120421;7.2;68.2
2022;1893;480382;573;16802693;20051;121049;7.2;69.0
__________
ï¿½ Federal Statistical Office, Wiesbaden 2023
created: 2024-04-06 / 04:10:20
