"Quarter";"Agriculture, forestry and fishing";"Manufacturing industry, excl. construction";"Construction";"Service industries"
"4th Quarter 2009";-0.8;-3.6;0;0.5
"1st Quarter 2010";-1.5;-2.3;0.9;0.9
"2nd Quarter 2010";-1.2;-0.9;1.1;1
"3rd Quarter 2010";-1.1;0;1.3;1.1
"4th Quarter 2010";0.3;1.2;2.4;1.1
"1st Quarter 2011";2.1;1.8;1.9;1
"2nd Quarter 2011";0.6;2.3;1.5;0.9
"3rd Quarter 2011";0.6;2.5;1.5;0.9
"4th Quarter 2011";-0.7;2.3;1.9;1
"1st Quarter 2012";-0.9;1.8;1.5;1
"2nd Quarter 2012";-0.3;1.4;1.2;1
"3rd Quarter 2012";-0.2;1;1;1.1
"4th Quarter 2012";-1.1;0.8;0.7;1
"1st Quarter 2013";-1.3;0.5;0.5;0.9
"2nd Quarter 2013";-0.3;0.1;0.7;0.9
"3rd Quarter 2013";-1.4;0.1;0.4;0.9
"4th Quarter 2013";-1;0.1;1;1.1
"1st Quarter 2014";1.2;0.6;0.7;1.1
"2nd Quarter 2014";-0.9;0.7;0.1;1
"3rd Quarter 2014";-1;0.8;0.2;0.8
"4th Quarter 2014";-1.2;0.5;-0.1;0.8
"1st Quarter 2015";-0.6;0.2;-0.2;1.1
"2nd Quarter 2015";-0.3;0.1;0;1.3
"3rd Quarter 2015";-1;0.1;0.1;1.6
"4th Quarter 2015";-1;0.3;0.8;1.6
"1st Quarter 2016";-1.9;0.3;0.9;1.6
"2nd Quarter 2016";-2.1;0.2;1;1.5
"3rd Quarter 2016";-2;0.3;1.2;1.6
"4th Quarter 2016";-0.9;0.5;1.5;1.6
"1st Quarter 2017";-1.4;0.8;1.2;1.5
"2nd Quarter 2017";-1.4;1;0.9;1.6
"3rd Quarter 2017";-1.7;1.2;0.9;1.5
"4th Quarter 2017";-1.9;1.6;1.6;1.6
"1st Quarter 2018";-0.2;1.6;1.5;1.4
"2nd Quarter 2018";-1.1;1.7;1.6;1.3
"3rd Quarter 2018";-0.9;1.8;1.8;1.1
"4th Quarter 2018";-0.5;1.4;1.7;1.1
"1st Quarter 2019";-2.1;1.1;1.4;1
"2nd Quarter 2019";-1.6;0.5;1.1;0.9
"3rd Quarter 2019";-2.2;-0.3;1.2;0.9
"4th Quarter 2019";-2.3;-1.1;1.9;0.8
"1st Quarter 2020";-3.4;-2.1;1.3;-1
"2nd Quarter 2020";-2.9;-3;1.6;-1
"3rd Quarter 2020";-3.9;-2.9;1.9;-1
"4th Quarter 2020";-4.3;-2.6;1.6;-1.2
"1st Quarter 2021";-4.1;-1.6;1.7;0.6
"2nd Quarter 2021";-3;-0.7;0.7;1.2
"3rd Quarter 2021";-1.8;-0.2;0.2;1.4
"4th Quarter 2021";-1.1;0.2;0.3;2
"1st Quarter 2022";-0.5;0.3;0.2;2
"2nd Quarter 2022";-0.7;0.5;0.6;1.5
"3rd Quarter 2022";0;0.6;0.9;1.3
"4th Quarter 2022";-0.2;0.5;1;1.1
"1st Quarter 2023";-1.2;0.6;0.8;1
"2nd Quarter 2023";-0.3;0.2;0.6;0.8
"3rd Quarter 2023";0;-0.1;0;0.6