,states,number_of_passengers_on_urban_public_transit_2022,easy_access_to_public_transportation_2022
0,Baden-WÃ¼rttemberg,1011.8,92.3
1,Bavaria,1144.6,74.7
2,Berlin,1378.2,99.4
3,Brandenburg,129.9,77.9
4,Bremen,89.3,97.9
5,Hamburg,685.3,98.7
6,Hesse,1749.4,90.6
7,Lower Saxony,538.9,75.9
8,Mecklenburg-Vorpomern,129.3,66.1
9,North Rhine-Westphalia,1939.8,92.6
10,Rhineland-Palatinate,252.8,83.1
11,Saarland,62.5,94.1
12,Saxony,430.7,87.5
13,Saxony-Anhalt,177.1,78.5
14,Schleswig-Holstein,110.9,82.8
15,Thuringia,157.3,78.4
